"Afrikaans","Afrikaans"
"Albanian","Albanés"
"Allow Specific Languages","Permitir idiomas específicos"
"Allowed Languages","Idiomas permitidos"
"Analytics Web Property ID","Analytics Web Property ID"
"Arabic","Arabe"
"Azerbaijani","Azerbaiyaní"
"Basque","Vasco"
"Belarusian","Bielorruso"
"Bengali","Bengalí"
"Bulgarian","Búlgaro"
"Catalan","Catalán"
"Chinese (Simplified)","Chino (Simplificado)"
"Chinese (Traditional)","Chino (Tradicional)"
"Code","Código"
"Croatian","Croata"
"Czech","Checo"
"Danish","Danés"
"Display Type","Tipo de visualización"
"Dutch","Holandés"
"Enabled","Habilitado"
"English","Inglés"
"Enter the value of google-translate-customization tag.","Ingresá el valor de la etiqueta google-translate-customization."
"Esperanto","Esperanto"
"Estonian","Estonio"
"Filipino","Filipino"
"Finnish","Finlandés"
"French","Francés"
"Galician","Gallego"
"Georgian","Georgiano"
"German","Alemán"
"Greek","Griego"
"Gujarati","Gujaratí"
"Haitian Creole","Criollo haitiano"
"Hebrew","Hebreo"
"Hindi","Hindi"
"Hungarian","Húngaro"
"Icelandic","Islandés"
"Indonesian","Indonesio"
"Irish","Irlandés"
"Is Page Multilanguage?","¿La página es multilenguaje?"
"Italian","Italiano"
"Japanese","Japonés"
"Kannada","Kannada"
"Korean","Coreano"
"Latin","Latín"
"Latvian","Letón"
"Lithuanian","Lituano"
"Macedonian","Macedonio"
"Malay","Malayo"
"Maltese","Maltés"
"Norweigan","Noruego"
"Page Language","Idioma de la página"
"Persian","Persa"
"Polish","Polaco"
"Portuguese","Portugués"
"Romanian","Rumano"
"Russian","Ruso"
"Serbian","Serbio"
"Settings","Configuración"
"Slovak","Eslovaco"
"Slovenian","Esloveno"
"Spanish","Español"
"Swahili","Swahili"
"Swedish","Sueco"
"Tamil","Tamil"
"Telugu","Telugu"
"Thai","Tailandés"
"Track Translation Traffic","Seguimiento del uso de traducciones"
"Turkish","Turco"
"Ukrainian","Ucraniano"
"Urdu","Urdu"
"Vietnamese","Vietnamita"
"Welsh","Galés"
"Yiddish","Yiddish"
